SourceVertex,SubgraphId,PartitionId:1,20,0
superstep,partition,subgraphID,time
2,1,4294967340,0
2,1,4294967362,0
2,1,4294967317,0
2,1,4294967310,0
2,1,4294967356,0
2,1,4294967320,0
2,1,4294967328,1
2,1,4294967335,0
2,1,4294967346,0
2,1,4294967355,0
2,1,4294967300,0
2,1,4294967299,0
2,1,4294967361,0
2,1,4294967307,0
3,1,4294967316,1
3,1,4294967327,0
3,1,4294967351,0
3,1,4294967308,0
3,1,4294967336,1
3,1,4294967337,0
3,1,4294967358,173
3,1,4294967302,0
3,1,4294967330,0
3,1,4294967323,0
3,1,4294967344,0
3,1,4294967301,0
3,1,4294967324,0
3,1,4294967315,0
3,1,4294967318,0
3,1,4294967309,0
3,1,4294967363,0
3,1,4294967329,0
3,1,4294967345,0
3,1,4294967364,0
3,1,4294967303,0
3,1,4294967342,0
3,1,4294967338,0
3,1,4294967321,0
3,1,4294967322,0
3,1,4294967296,0
3,1,4294967352,0
3,1,4294967314,0
3,1,4294967357,0
3,1,4294967332,0
3,1,4294967349,0
3,1,4294967343,0
3,1,4294967304,0
3,1,4294967341,0
3,1,4294967298,0
3,1,4294967360,0
3,1,4294967359,0
3,1,4294967312,0
3,1,4294967347,0
3,1,4294967306,0
3,1,4294967354,0
3,1,4294967348,0
3,1,4294967313,0
3,1,4294967331,0
3,1,4294967334,0
3,1,4294967305,0
3,1,4294967350,0
3,1,4294967319,0
3,1,4294967311,0
3,1,4294967297,0
3,1,4294967333,0
3,1,4294967353,0
3,1,4294967339,0
3,1,4294967325,0
3,1,4294967326,0
3,1,4294967340,0
3,1,4294967362,0
3,1,4294967317,0
3,1,4294967310,0
3,1,4294967356,0
3,1,4294967320,0
3,1,4294967328,0
3,1,4294967335,0
3,1,4294967346,0
3,1,4294967355,0
3,1,4294967300,0
3,1,4294967299,0
3,1,4294967361,0
3,1,4294967307,0
4,1,4294967316,1
4,1,4294967351,1
4,1,4294967308,1
4,1,4294967358,8479
4,1,4294967330,1
4,1,4294967323,1
4,1,4294967324,1
4,1,4294967315,1
4,1,4294967309,1
4,1,4294967363,0
4,1,4294967329,0
4,1,4294967364,1
4,1,4294967338,1
4,1,4294967321,1
4,1,4294967322,1
4,1,4294967296,0
4,1,4294967314,0
4,1,4294967332,0
4,1,4294967349,1
4,1,4294967343,1
4,1,4294967304,1
4,1,4294967341,0
4,1,4294967360,0
4,1,4294967359,1
4,1,4294967312,1
4,1,4294967347,1
4,1,4294967354,1
4,1,4294967348,0
4,1,4294967313,0
4,1,4294967331,1
4,1,4294967334,1
4,1,4294967305,1
4,1,4294967350,0
4,1,4294967319,0
4,1,4294967311,1
4,1,4294967297,1
4,1,4294967333,1
4,1,4294967353,0
4,1,4294967339,0
4,1,4294967340,0
4,1,4294967362,1
4,1,4294967317,1
4,1,4294967310,0
4,1,4294967356,0
4,1,4294967320,1
4,1,4294967355,1
4,1,4294967300,1
4,1,4294967361,1
4,1,4294967307,0
5,1,4294967327,2
5,1,4294967336,1
5,1,4294967337,0
5,1,4294967358,630
5,1,4294967302,0
5,1,4294967344,1
5,1,4294967301,0
5,1,4294967318,0
5,1,4294967345,0
5,1,4294967303,1
5,1,4294967342,0
5,1,4294967352,1
5,1,4294967314,0
5,1,4294967357,0
5,1,4294967298,0
5,1,4294967306,1
5,1,4294967325,0
5,1,4294967326,1
5,1,4294967328,1
5,1,4294967335,0
5,1,4294967346,0
5,1,4294967300,0
5,1,4294967299,0
6,1,4294967327,1
6,1,4294967337,1
6,1,4294967358,267
6,1,4294967345,1
6,1,4294967298,1
6,1,4294967306,0
6,1,4294967331,1
6,1,4294967305,0
6,1,4294967326,0
6,1,4294967328,1
6,1,4294967346,0
6,1,4294967300,1
7,1,4294967358,27
7,1,4294967318,1
7,1,4294967363,0
7,1,4294967352,0
7,1,4294967354,0
7,1,4294967326,1
7,1,4294967300,0
8,1,4294967358,8
9,1,4294967358,1
0,4,17179869204,8
0,4,17179869215,0
0,4,17179869196,0
0,4,17179869224,0
0,4,17179869225,2
0,4,17179869190,0
0,4,17179869218,0
0,4,17179869211,1
0,4,17179869232,0
0,4,17179869189,0
0,4,17179869212,0
0,4,17179869203,1
0,4,17179869206,1
0,4,17179869197,0
0,4,17179869217,1
0,4,17179869233,1
0,4,17179869202,1
0,4,17179869191,1
0,4,17179869220,1
0,4,17179869230,1
0,4,17179869226,0
0,4,17179869209,0
0,4,17179869231,0
0,4,17179869184,1
0,4,17179869210,1
0,4,17179869229,1710
0,4,17179869192,0
0,4,17179869186,0
0,4,17179869200,1
0,4,17179869194,1
0,4,17179869201,0
0,4,17179869219,0
0,4,17179869222,0
0,4,17179869193,0
0,4,17179869207,1
0,4,17179869199,1
0,4,17179869185,1
0,4,17179869221,0
0,4,17179869227,0
0,4,17179869214,0
0,4,17179869213,1
0,4,17179869228,1
0,4,17179869198,1
0,4,17179869205,1
0,4,17179869188,0
0,4,17179869187,0
0,4,17179869208,0
0,4,17179869223,1
0,4,17179869216,1
0,4,17179869195,1
1,4,17179869204,67
1,4,17179869215,26
1,4,17179869196,27
1,4,17179869224,32
1,4,17179869225,75
1,4,17179869190,33
1,4,17179869218,32
1,4,17179869211,1271
1,4,17179869232,31
1,4,17179869189,27
1,4,17179869212,25
1,4,17179869203,26
1,4,17179869206,28
1,4,17179869197,26
1,4,17179869217,28
1,4,17179869233,20
1,4,17179869202,26
1,4,17179869191,27
1,4,17179869220,26
1,4,17179869230,26
1,4,17179869226,29
1,4,17179869209,31
1,4,17179869231,32
1,4,17179869184,31
1,4,17179869210,26
1,4,17179869229,363
1,4,17179869192,47
1,4,17179869186,31
1,4,17179869200,23
1,4,17179869194,32
1,4,17179869201,29
1,4,17179869219,30
1,4,17179869222,29
1,4,17179869193,27
1,4,17179869207,29
1,4,17179869199,32
1,4,17179869185,29
1,4,17179869221,30
1,4,17179869227,32
1,4,17179869214,30
1,4,17179869213,19
1,4,17179869228,26
1,4,17179869198,26
1,4,17179869205,43
1,4,17179869188,27
1,4,17179869187,31
1,4,17179869208,27
1,4,17179869223,26
1,4,17179869216,19
1,4,17179869195,27
2,4,17179869204,1
2,4,17179869215,0
2,4,17179869196,0
2,4,17179869224,0
2,4,17179869225,1
2,4,17179869190,0
2,4,17179869218,0
2,4,17179869211,0
2,4,17179869232,0
2,4,17179869189,0
2,4,17179869212,0
2,4,17179869203,1
2,4,17179869206,0
2,4,17179869197,0
2,4,17179869217,0
2,4,17179869233,0
2,4,17179869202,1
2,4,17179869191,0
2,4,17179869220,0
2,4,17179869230,0
2,4,17179869226,0
2,4,17179869209,0
2,4,17179869231,0
2,4,17179869184,1
2,4,17179869210,0
2,4,17179869229,88
2,4,17179869192,0
2,4,17179869186,1
